time,volumn
2018/2/10 9:30,722
2018/2/10 9:35,819
2018/2/10 9:40,693
2018/2/10 9:45,792
2018/2/10 9:50,751
2018/2/10 9:55,802
2018/2/10 10:00,924
2018/2/10 10:05,887
2018/2/10 10:10,908
2018/2/10 10:15,781
2018/2/10 10:20,878
2018/2/10 10:25,876
2018/2/10 10:30,700
2018/2/10 10:35,821
2018/2/10 10:40,831
2018/2/10 10:45,800
2018/2/10 10:50,669
2018/2/10 10:55,772
2018/2/10 11:00,747
2018/2/10 11:05,766
2018/2/10 11:10,704
2018/2/10 11:15,786
2018/2/10 11:20,796
2018/2/10 11:25,509
2018/2/10 11:30,810
2018/2/10 11:35,755
2018/2/10 11:40,913
2018/2/10 11:45,729
2018/2/10 11:50,708
2018/2/10 11:55,665
2018/2/10 12:00,733
2018/2/10 12:05,790
2018/2/10 12:10,512
2018/2/10 12:15,610
2018/2/10 12:20,724
2018/2/10 12:25,713
2018/2/10 12:30,844
2018/2/10 12:35,760
2018/2/10 12:40,634
2018/2/10 12:45,887
2018/2/10 12:50,713
2018/2/10 12:55,917
2018/2/10 13:00,807
2018/2/10 13:05,882
2018/2/10 13:10,1031
2018/2/10 13:15,795
2018/2/10 13:20,939
2018/2/10 13:25,936
2018/2/10 13:30,934
2018/2/10 13:35,822
2018/2/10 13:40,768
2018/2/10 13:45,780
2018/2/10 13:50,983
2018/2/10 13:55,930
2018/2/10 14:00,1163
2018/2/10 14:05,836
2018/2/10 14:10,1184
2018/2/10 14:15,1056
2018/2/10 14:20,1222
2018/2/10 14:25,1097
2018/2/10 14:30,1121
2018/2/10 14:35,1273
2018/2/10 14:40,1221
2018/2/10 14:45,1490
2018/2/10 14:50,1300
2018/2/10 14:55,1039
2018/2/10 15:00,1092
2018/2/10 15:05,1280
2018/2/10 15:10,1041
2018/2/10 15:15,1328
2018/2/10 15:20,1190
2018/2/10 15:25,1300
2018/2/10 15:30,932
2018/2/10 15:35,1074
2018/2/10 15:40,979
2018/2/10 15:45,1065
2018/2/10 15:50,1127
2018/2/10 15:55,1208
2018/2/10 16:00,1007
2018/2/10 16:05,1323
2018/2/10 16:10,1386
2018/2/10 16:15,1321
2018/2/10 16:20,983
2018/2/10 16:25,1076
2018/2/10 16:30,1205
2018/2/10 16:35,1080
2018/2/10 16:40,955
2018/2/10 16:45,914
2018/2/10 16:50,809
2018/2/10 16:55,994
2018/2/10 17:00,1024
2018/2/10 17:05,1037
2018/2/10 17:10,751
2018/2/10 17:15,726
2018/2/10 17:20,725
2018/2/10 17:25,1041
2018/2/10 17:30,1139
2018/2/10 17:35,1297
2018/2/10 17:40,1025
2018/2/10 17:45,1016
2018/2/10 17:50,1022
2018/2/10 17:55,1110
2018/2/10 18:00,1197
2018/2/10 18:05,878
2018/2/10 18:10,870
2018/2/10 18:15,1059
2018/2/10 18:20,889
2018/2/10 18:25,975
2018/2/10 18:30,870
2018/2/10 18:35,939
2018/2/10 18:40,776
2018/2/10 18:45,1053
2018/2/10 18:50,803
2018/2/10 18:55,1503
2018/2/10 19:00,1495
2018/2/10 19:05,1553
2018/2/10 19:10,1667
2018/2/10 19:15,1623
2018/2/10 19:20,1661
2018/2/10 19:25,1639
2018/2/10 19:30,1191
2018/2/10 19:35,1164
2018/2/10 19:40,1336
2018/2/10 19:45,1111
2018/2/10 19:50,991
2018/2/10 19:55,1211
2018/2/10 20:00,991
2018/2/10 20:05,982
2018/2/10 20:10,1031
2018/2/10 20:15,1304
2018/2/10 20:20,1227
2018/2/10 20:25,1095
2018/2/10 20:30,956
2018/2/10 20:35,1286
2018/2/10 20:40,1223
2018/2/10 20:45,1028
2018/2/10 20:50,1163
2018/2/10 20:55,1220
2018/2/10 21:00,1216
2018/2/10 21:05,972
2018/2/10 21:10,1286
2018/2/10 21:15,1002
2018/2/10 21:20,762
2018/2/10 21:25,1121
2018/2/10 21:30,1127
2018/2/10 21:35,957
2018/2/10 21:40,997
2018/2/10 21:45,1155
2018/2/10 21:50,609
2018/2/10 21:55,587
2018/2/10 22:00,499
2018/2/10 22:05,614
2018/2/10 22:10,922
2018/2/10 22:15,665
2018/2/10 22:20,740
2018/2/10 22:25,709
2018/2/10 22:30,768
2018/2/10 22:35,719
2018/2/10 22:40,677
2018/2/10 22:45,792
2018/2/10 22:50,814
2018/2/10 22:55,916
2018/2/10 23:00,606
2018/2/10 23:05,484
2018/2/10 23:10,693
2018/2/10 23:15,524
2018/2/10 23:20,509
2018/2/10 23:25,534
2018/2/10 23:30,606
2018/2/10 23:35,599
2018/2/10 23:40,507
2018/2/10 23:45,428
2018/2/10 23:50,383
2018/2/10 23:55,400
2018/2/15,1344
2018/2/15 0:05,1408
2018/2/15 0:10,1374
2018/2/15 0:15,1384
2018/2/15 0:20,1372
2018/2/15 0:25,1339
2018/2/15 0:30,1452
2018/2/15 0:35,1420
2018/2/15 0:40,1347
2018/2/15 0:45,1374
2018/2/15 0:50,1416
2018/2/15 0:55,1371
2018/2/15 1:00,1418
2018/2/15 1:05,1321
2018/2/15 1:10,1372
2018/2/15 1:15,1325
2018/2/15 1:20,1326
2018/2/15 1:25,1304
2018/2/15 1:30,1295
2018/2/15 1:35,1318
2018/2/15 1:40,1348
2018/2/15 1:45,1333
2018/2/15 1:50,1319
2018/2/15 1:55,1335
2018/2/15 2:00,1277
2018/2/15 2:05,1241
2018/2/15 2:10,1289
2018/2/15 2:15,1261
2018/2/15 2:20,1254
2018/2/15 2:25,1255
2018/2/15 2:30,1284
2018/2/15 2:35,1222
2018/2/15 2:40,1225
2018/2/15 2:45,1262
2018/2/15 2:50,1247
2018/2/15 2:55,1310
2018/2/15 3:00,1213
2018/2/15 3:05,1214
2018/2/15 3:10,1253
2018/2/15 3:15,1243
2018/2/15 3:20,1283
2018/2/15 3:25,1204
2018/2/15 3:30,1243
2018/2/15 3:35,1228
2018/2/15 3:40,1230
2018/2/15 3:45,1210
2018/2/15 3:50,1256
2018/2/15 3:55,1224
2018/2/15 4:00,1205
2018/2/15 4:05,1237
2018/2/15 4:10,1234
2018/2/15 4:15,1324
2018/2/15 4:20,1251
2018/2/15 4:25,1295
2018/2/15 4:30,1286
2018/2/15 4:35,1400
2018/2/15 4:40,1273
2018/2/15 4:45,1284
2018/2/15 4:50,1327
2018/2/15 4:55,1325
2018/2/15 5:00,1321
2018/2/15 5:05,1274
2018/2/15 5:10,1271
2018/2/15 5:15,1217
2018/2/15 5:20,1321
2018/2/15 5:25,1320
2018/2/15 5:30,1344
2018/2/15 5:35,1396
2018/2/15 5:40,1410
2018/2/15 5:45,1347
2018/2/15 5:50,1419
2018/2/15 5:55,1480
2018/2/15 6:00,1451
2018/2/15 6:05,1517
2018/2/15 6:10,1271
2018/2/15 6:15,1440
2018/2/15 6:20,1460
2018/2/15 6:25,1377
2018/2/15 6:30,1443
2018/2/15 6:35,1730
2018/2/15 6:40,1747
2018/2/15 6:45,1635
2018/2/15 6:50,1652
2018/2/15 6:55,1458
2018/2/15 7:00,1117
2018/2/15 7:05,894
2018/2/15 7:10,956
2018/2/15 7:15,796
2018/2/15 7:20,882
2018/2/15 7:25,965
2018/2/15 7:30,935
2018/2/15 7:35,985
2018/2/15 7:40,1028
2018/2/15 7:45,896
2018/2/15 7:50,877
2018/2/15 7:55,1118
2018/2/15 8:00,1058
2018/2/15 8:05,934
2018/2/15 8:10,1062
2018/2/15 8:15,1089
2018/2/15 8:20,1084
2018/2/15 8:25,1322
2018/2/15 8:30,1308
2018/2/15 8:35,1361
2018/2/15 8:40,1287
2018/2/15 8:45,1252
2018/2/15 8:50,1407
2018/2/15 8:55,1280
2018/2/15 9:00,1332
2018/2/15 9:05,1343
2018/2/15 9:10,1229
2018/2/15 9:15,1165
2018/2/15 9:20,1205
2018/2/15 9:25,1291
2018/2/15 9:30,1246
2018/2/15 9:35,1275
2018/2/15 9:40,1271
2018/2/15 9:45,1193
2018/2/15 9:50,1302
2018/2/15 9:55,1286
2018/2/15 10:00,1304
2018/2/15 10:05,1378
2018/2/15 10:10,1282
2018/2/15 10:15,1256
2018/2/15 10:20,1258
2018/2/15 10:25,1359
2018/2/15 10:30,1450
2018/2/15 10:35,1431
2018/2/15 10:40,1258
2018/2/15 10:45,1401
2018/2/15 10:50,1273
2018/2/15 10:55,1468
2018/2/15 11:00,1410
2018/2/15 11:05,1419
2018/2/15 11:10,1413
2018/2/15 11:15,1424
2018/2/15 11:20,1502
2018/2/15 11:25,1554
2018/2/15 11:30,1508
2018/2/15 11:35,1567
2018/2/15 11:40,1497
2018/2/15 11:45,1489
2018/2/15 11:50,1535
2018/2/15 11:55,1566
2018/2/15 12:00,1522
2018/2/15 12:05,1471
2018/2/15 12:10,1462
2018/2/15 12:15,1415
2018/2/15 12:20,1500
2018/2/15 12:25,1443
2018/2/15 12:30,1442
2018/2/15 12:35,1463
2018/2/15 12:40,1419
2018/2/15 12:45,1436
2018/2/15 12:50,1476
2018/2/15 12:55,1509
2018/2/15 13:00,1482
2018/2/15 13:05,1576
2018/2/15 13:10,1585
2018/2/15 13:15,1535
2018/2/15 13:20,1511
2018/2/15 13:25,1545
2018/2/15 13:30,1575
2018/2/15 13:35,1674
2018/2/15 13:40,1558
2018/2/15 13:45,1745
2018/2/15 13:50,1623
2018/2/15 13:55,1591
2018/2/15 14:00,1723
2018/2/15 14:05,1652
2018/2/15 14:10,1546
2018/2/15 14:15,1681
2018/2/15 14:20,1664
2018/2/15 14:25,1724
2018/2/15 14:30,1698
2018/2/15 14:35,1755
2018/2/15 14:40,1669
2018/2/15 14:45,1683
2018/2/15 14:50,1678
2018/2/15 14:55,1664
2018/2/15 15:00,1704
2018/2/15 15:05,1771
2018/2/15 15:10,1656
2018/2/15 15:15,1739
2018/2/15 15:20,1735
2018/2/15 15:25,1744
2018/2/15 15:30,1679
2018/2/15 15:35,1762
2018/2/15 15:40,1744
2018/2/15 15:45,1833
2018/2/15 15:50,1728
2018/2/15 15:55,1733
2018/2/15 16:00,1701
2018/2/15 16:05,1664
2018/2/15 16:10,1736
2018/2/15 16:15,1617
2018/2/15 16:20,1662
2018/2/15 16:25,1579
2018/2/15 16:30,1595
2018/2/15 16:35,1526
2018/2/15 16:40,1547
2018/2/15 16:45,1477
2018/2/15 16:50,1625
2018/2/15 16:55,1624
2018/2/15 17:00,1544
2018/2/15 17:05,1504
2018/2/15 17:10,1557
2018/2/15 17:15,1699
2018/2/15 17:20,1492
2018/2/15 17:25,1594
2018/2/15 17:30,1568
2018/2/15 17:35,1415
2018/2/15 17:40,1212
2018/2/15 17:45,1048
2018/2/15 17:50,1152
2018/2/15 17:55,1445
2018/2/15 18:00,1442
2018/2/15 18:05,1347
2018/2/15 18:10,1354
2018/2/15 18:15,1359
2018/2/15 18:20,1259
2018/2/15 18:25,1372
2018/2/15 18:30,1250
2018/2/15 18:35,1284
2018/2/15 18:40,1286
2018/2/15 18:45,1180
2018/2/15 18:50,1164
2018/2/15 18:55,1214
2018/2/15 19:00,1304
2018/2/15 19:05,1220
2018/2/15 19:10,1277
2018/2/15 19:15,1259
2018/2/15 19:20,1195
2018/2/15 19:25,1208
2018/2/15 19:30,1267
2018/2/15 19:35,1232
2018/2/15 19:40,1393
2018/2/15 19:45,1236
2018/2/15 19:50,1201
2018/2/15 19:55,1272
2018/2/15 20:00,1396
2018/2/15 20:05,1286
2018/2/15 20:10,1286
2018/2/15 20:15,1289
2018/2/15 20:20,1289
2018/2/15 20:25,1351
2018/2/15 20:30,1409
2018/2/15 20:35,1315
2018/2/15 20:40,1276
2018/2/15 20:45,1231
2018/2/15 20:50,1312
2018/2/15 20:55,1391
2018/2/15 21:00,1310
2018/2/15 21:05,1355
2018/2/15 21:10,1355
2018/2/15 21:15,1295
2018/2/15 21:20,1460
2018/2/15 21:25,1251
2018/2/15 21:30,1277
2018/2/15 21:35,1317
2018/2/15 21:40,1236
2018/2/15 21:45,1345
2018/2/15 21:50,1249
2018/2/15 21:55,1342
2018/2/15 22:00,1304
2018/2/15 22:05,1349
2018/2/15 22:10,1290
2018/2/15 22:15,1332
2018/2/15 22:20,1472
2018/2/15 22:25,1442
2018/2/15 22:30,1348
2018/2/15 22:35,1356
2018/2/15 22:40,1439
2018/2/15 22:45,1364
2018/2/15 22:50,1323
2018/2/15 22:55,1446
2018/2/15 23:00,1349
2018/2/15 23:05,1392
2018/2/15 23:10,1355
2018/2/15 23:15,1343
2018/2/15 23:20,1408
2018/2/15 23:25,1400
2018/2/15 23:30,1388
2018/2/15 23:35,1414
2018/2/15 23:40,1322
2018/2/15 23:45,1339
2018/2/15 23:50,1376
2018/2/15 23:55,1458
2018/2/16,1381
2018/2/16 0:05,1526
2018/2/16 0:10,1501
2018/2/16 0:15,1361
2018/2/16 0:20,1561
2018/2/16 0:25,1463
2018/2/16 0:30,1537
2018/2/16 0:35,1428
2018/2/16 0:40,1372
2018/2/16 0:45,1393
2018/2/16 0:50,1450
2018/2/16 0:55,1383
